   PID    TID %CPU     TIME NLWP  C
 41991  44594  0.0 00:00:00 1072  0
 41991  44609  0.0 00:00:00 1072  0
 41991  44621  0.0 00:00:00 1072  0
 41991  44622  0.0 00:00:00 1072  0
 41991  44623  0.0 00:00:00 1072  0
 41991  44624  0.0 00:00:00 1072  0
 41991  44626  0.0 00:00:00 1072  0
 41991  44627  0.0 00:00:00 1072  0
 41991  44632  0.0 00:00:00 1072  0
 41991  44635  0.0 00:00:00 1072  0
 41991  44636  0.0 00:00:00 1072  0
 41991  44654  0.0 00:00:11 1072  0
 41991  44655  0.0 00:00:01 1072  0
 41991  44656  0.0 00:00:11 1072  0
 41991  44657  0.0 00:00:01 1072  0
 41991  44658  0.0 00:00:01 1072  0
 41991  44659  0.0 00:00:00 1072  0
 41991  44660  0.0 00:00:11 1072  0
 41991  44661  0.0 00:00:11 1072  0
 41991  44662  0.0 00:00:01 1072  0
 41991  44663  0.0 00:00:01 1072  0
 41991  44664  0.0 00:00:11 1072  0
 41991  44665  0.0 00:00:11 1072  0
 41991  44666  0.0 00:00:01 1072  0
 41991  44668  0.0 00:00:11 1072  0
 41991  44669  0.0 00:00:11 1072  0
 41991  44670  0.0 00:00:01 1072  0
 41991  44671  0.0 00:00:01 1072  0
 41991  44672  0.0 00:00:11 1072  0
 41991  44673  0.0 00:00:11 1072  0
 41991  44674  0.0 00:00:01 1072  0
 41991  44675  0.0 00:00:01 1072  0
 41991  44677  0.0 00:00:11 1072  0
 41991  44678  0.0 00:00:11 1072  0
 41991  44679  0.0 00:00:01 1072  0
 41991  44680  0.0 00:00:01 1072  0
 41991  44681  0.0 00:00:11 1072  0
 41991  44682  0.0 00:00:01 1072  0
 41991  44684  0.0 00:00:11 1072  0
 41991  44685  0.0 00:00:01 1072  0
 41991  44686  0.0 00:00:11 1072  0
 41991  44687  0.0 00:00:01 1072  0
 41991  44689  0.0 00:00:11 1072  0
 41991  44690  0.0 00:00:01 1072  0
 41991  44691  0.0 00:00:11 1072  0
 41991  44692  0.0 00:00:11 1072  0
 41991  44693  0.0 00:00:01 1072  0
 41991  44694  0.0 00:00:01 1072  0
 41991  44695  0.0 00:00:11 1072  0
 41991  44696  99.99 00:00:11 1072  0
 41991  44697  0.0 00:00:01 1072  0
 41991  44698  100.0 00:00:01 1072  0
 41991  44699  0.0 00:00:11 1072  0
 41991  44700  0.0 00:00:01 1072  0
 41991  44701  0.0 00:00:01 1072  0
 41991  44702  0.0 00:00:11 1072  0
 41991  44703  0.0 00:00:01 1072  0
 41991  44704  0.0 00:00:01 1072  0
 41991  44705  0.0 00:00:11 1072  0
 41991  44706  0.0 00:00:11 1072  0
 41991  44707  0.0 00:00:01 1072  0
 41991  44708  0.0 00:00:01 1072  0
 41991  44709  0.0 00:00:01 1072  0
 41991  44711  0.0 00:00:11 1072  0
 41991  44712  0.0 00:00:01 1072  0
 41991  44713  0.0 00:00:12 1072  0
 41991  44714  0.0 00:00:11 1072  0
 41991  44715  0.0 00:00:01 1072  0
 41991  44716  0.0 00:00:01 1072  0
 41991  44717  0.0 00:00:01 1072  0
 41991  44718  0.0 00:00:11 1072  0
 41991  44719  0.0 00:00:11 1072  0
 41991  44720  0.0 00:00:01 1072  0
 41991  44721  0.0 00:00:11 1072  0
 41991  44722  0.0 00:00:01 1072  0
 41991  44723  0.0 00:00:01 1072  0
 41991  44724  0.0 00:00:01 1072  0
 41991  44725  0.0 00:00:11 1072  0
 41991  44726  0.0 00:00:01 1072  0
 41991  44727  0.0 00:00:01 1072  0
 41991  44729  0.0 00:00:11 1072  0
 41991  44730  0.0 00:00:11 1072  0
 41991  44731  0.0 00:00:01 1072  0
 41991  44732  0.0 00:00:01 1072  0
 41991  44733  0.0 00:00:11 1072  0
 41991  44734  0.0 00:00:01 1072  0
 41991  44735  0.0 00:00:01 1072  0
 41991  44736  0.0 00:00:11 1072  0
 41991  44737  0.0 00:00:11 1072  0
 41991  44738  0.0 00:00:11 1072  0
 41991  44739  0.0 00:00:01 1072  0
 41991  44740  0.0 00:00:01 1072  0
 41991  44741  0.0 00:00:12 1072  0
 41991  44742  0.0 00:00:01 1072  0
 41991  44743  0.0 00:00:11 1072  0
 41991  44744  0.0 00:00:01 1072  0
 41991  44746  0.0 00:00:11 1072  0
 41991  44747  0.0 00:00:01 1072  0
 41991  44748  0.0 00:00:11 1072  0
 41991  44749  0.0 00:00:01 1072  0
 41991  44750  0.0 00:00:01 1072  0
 41991  44751  0.0 00:00:11 1072  0
 41991  44752  0.0 00:00:11 1072  0
 41991  44753  0.0 00:00:01 1072  0
 41991  44754  0.0 00:00:01 1072  0
 41991  44755  0.0 00:00:11 1072  0
 41991  44756  0.0 00:00:01 1072  0
 41991  44757  0.0 00:00:01 1072  0
 41991  44758  0.0 00:00:11 1072  0
 41991  44759  0.0 00:00:01 1072  0
 41991  44760  0.0 00:00:01 1072  0
 41991  44762  0.0 00:00:11 1072  0
 41991  44763  0.0 00:00:11 1072  0
 41991  44764  0.0 00:00:11 1072  0
 41991  44765  0.0 00:00:01 1072  0
 41991  44766  0.0 00:00:01 1072  0
 41991  44767  0.0 00:00:11 1072  0
 41991  44768  0.0 00:00:11 1072  0
 41991  44769  0.0 00:00:01 1072  0
 41991  44770  0.0 00:00:01 1072  0
 41991  44771  0.0 00:00:01 1072  0
 41991  44772  0.0 00:00:11 1072  0
 41991  44773  0.0 00:00:01 1072  0
 41991  44774  0.0 00:00:11 1072  0
 41991  44775  0.0 00:00:01 1072  0
 41991  44776  0.0 00:00:11 1072  0
 41991  44777  0.0 00:00:12 1072  0
 41991  44778  0.0 00:00:01 1072  0
 41991  44779  0.0 00:00:01 1072  0
 41991  44780  0.0 00:00:11 1072  0
